Vendedor,Fecha,Cliente,Cajas de Papel
Howard Hamlin,02/02/2026,Cartel de las Feas,70
Nicolás Mora,05/02/2026,New Jersey Logistics,580
Christopher Moltisanti,05/02/2026,Wexler McGill,"1,220"
Nacho Varga,06/02/2026,Los Pollos Hermanos,"1,840"
Saul Goodman,07/02/2026,Megan's Lab,760
Audrey Parker-Nichols,08/02/2026,Warehouse Scranton,130
Oscar Martinez,10/02/2026,Helen's Office,370
Walter Nichols,11/02/2026,Monica's Apartment,50
Gunther,12/02/2026,Mesa Verde Bank,"2,100"
Jimmy McGill,12/02/2026,Bloomingdale's,"1,280"
Phoebe Buffay,13/02/2026,Escuela de Botes,160
Gary,13/02/2026,Vecindario Peluche,990
Junior Peluche,14/02/2026,Amy's Neurobiology Lab,"1,030"
Bernadette Rostenkowski,14/02/2026,Apartment 4A,"1,200"
Penny Hofstadter,15/02/2026,Luna Park,"1,280"
Hermes Conrad,16/02/2026,Oficinas Mendoza,"1,220"
Hugo Lombardi,17/02/2026,Emporio Federica,"2,130"
Excelsa,18/02/2026,Lavandería Brillante,"3,090"
Hank Schrader,19/02/2026,Megan's Lab,"2,540"
Drake Parker,20/02/2026,Sandia Labs,220
Hank Schrader,22/02/2026,Lavandería Brillante,"3,040"
Jesse Pinkman,22/02/2026,Ciudad Peluche,"1,800"
Junior Peluche,23/02/2026,MomCorp,"1,040"
Amy Wong,23/02/2026,Pretzel Day Supplies,650
Phyllis Vance,23/02/2026,Chandler's Office,530
Rachel Green,24/02/2026,Albuquerque Courthouse,990
Lalo Salamanca,25/02/2026,Vecindario Peluche,560
Federica Peluche,27/02/2026,Lombardi Designs,440
Hugo Lombardi,27/02/2026,Nashua Paper Co.,310
Jim Halpert,01/03/2026,Satriale's Pork Store,650
Christopher Moltisanti,01/03/2026,Megan's Lab,165
Josh Nichols,01/03/2026,Fashion Group Bogotá,"1,540"
Marcela Valencia,02/03/2026,North Caldwell Office,320
Dr. Melfi,02/03/2026,Domo de Arenita,"1,530"
Gary,02/03/2026,Megan's Lab,230
Walter Nichols,04/03/2026,Robot Arms Apartments,"3,050"
Dr. Zoidberg,04/03/2026,Krustylu Studios,300
Ned Flanders,05/03/2026,Campos de Medusas,660
Patricio Estrella,05/03/2026,Lavandería Brillante,520
Walter White,06/03/2026,Boutique Peluche,"2,550"
Ludovico Peluche,07/03/2026,Bada Bing,"1,050"
Carmela Soprano,07/03/2026,The Premiere Theater,"2,510"
Josh Nichols,07/03/2026,Emporio Federica,500
Junior Peluche,08/03/2026,Davis & Main,240
Francesca Liddy,08/03/2026,742 Evergreen Terrace,150
Krusty el Payaso,08/03/2026,Lavandería Brillante,590
Saul Goodman,09/03/2026,Valencia Boutique,510
Aura María Fuentes,09/03/2026,Caltech Lab,310
Howard Wolowitz,09/03/2026,Joey's Auditions,"2,590"
Rachel Green,09/03/2026,A1A Car Wash,"2,180"
Skyler White,10/03/2026,Nashua Paper Co.,650
Dwight Schrute,10/03/2026,Club Peluche,"1,240"
Ludoviquito Peluche,11/03/2026,Art & Design Studio,770
Phyllis Vance,13/03/2026,New Jersey Logistics,"1,770"
Meadow Soprano,13/03/2026,Springfield Elementary,870
Ned Flanders,13/03/2026,Monica's Apartment,95
Rachel Green,14/03/2026,Joey's Auditions,650
Phoebe Buffay,15/03/2026,Casa Piña,540
Plankton,16/03/2026,Schrute Farms,170
Creed Bratton,17/03/2026,Monica's Apartment,"1,230"
Chandler Bing,17/03/2026,Los Pollos Hermanos,830
Mike Ehrmantraut,17/03/2026,Pretzel Day Supplies,"1,230"
Phyllis Vance,18/03/2026,Fondo de Bikini,270
Patricio Estrella,19/03/2026,MomCorp,570
Philip J. Fry,19/03/2026,Phoebe's Massage Studio,340
Rachel Green,22/03/2026,Emporio Federica,"2,590"
Bibi Peluche,22/03/2026,Zoidberg Clinic,"1,250"
Hermes Conrad,23/03/2026,Pasarela Capital,890
Armando Mendoza,23/03/2026,Warehouse Scranton,"3,080"
Oscar Martinez,23/03/2026,The Cheesecake Factory,130
Penny Hofstadter,23/03/2026,Koothrappali Observatory,"3,010"
Sheldon Cooper,24/03/2026,Club Peluche,"2,590"
Excelsa,25/03/2026,Cartel de las Feas,210
Armando Mendoza,25/03/2026,Moe's Tavern,"2,100"
Lisa Simpson,26/03/2026,Bada Bing,890
Dr. Melfi,26/03/2026,Melfi Psychiatry,460
Paulie Gualtieri,27/03/2026,Oficinas Mendoza,"1,580"
Hugo Lombardi,28/03/2026,North Caldwell Office,280
Silvio Dante,29/03/2026,North Caldwell Office,320
Christopher Moltisanti,29/03/2026,Koothrappali Observatory,105
Leonard Hofstadter,29/03/2026,742 Evergreen Terrace,890
Moe Szyslak,30/03/2026,Planet Express,170
Philip J. Fry,31/03/2026,Comic Center Pasadena,"2,180"
Howard Wolowitz,01/04/2026,Oficinas Mendoza,120
Aura María Fuentes,01/04/2026,Oficinas Mendoza,150
Beatriz Pinzón,02/04/2026,Museum of Prehistoric History,520
Gunther,02/04/2026,DEA Albuquerque,200
Saul Goodman,03/04/2026,Pasarela Capital,"2,540"
Armando Mendoza,04/04/2026,DEA Albuquerque,"1,030"
Walter White,06/04/2026,Krustylu Studios,810
Homer Simpson,06/04/2026,Wolowitz Engineering,"2,540"
Howard Wolowitz,07/04/2026,Satriale's Pork Store,170
Silvio Dante,07/04/2026,North Caldwell Office,"1,840"
Silvio Dante,08/04/2026,Domo de Arenita,160
Bob Esponja,09/04/2026,Springfield Mall,520
Marge Simpson,09/04/2026,Koothrappali Observatory,320
Sheldon Cooper,10/04/2026,Phoebe's Massage Studio,"1,280"
Phoebe Buffay,10/04/2026,MomCorp,280
Turanga Leela,12/04/2026,Oficinas Mendoza,"3,070"
Armando Mendoza,12/04/2026,New New York Office,870
Hermes Conrad,12/04/2026,Salamanca Imports,"3,030"
Jimmy McGill,12/04/2026,Leftorium,490
Ned Flanders,12/04/2026,Bloomingdale's,510
Ross Geller,13/04/2026,Satriale's Pork Store,180
Carmela Soprano,13/04/2026,Balde de Carnada,340
Don Cangrejo,14/04/2026,Los Pollos Hermanos,500
Saul Goodman,16/04/2026,Bada Bing,90
Christopher Moltisanti,16/04/2026,New New York Office,"1,220"
Hermes Conrad,16/04/2026,Springfield Nuclear Plant,460
Ned Flanders,17/04/2026,MomCorp,680
Hermes Conrad,17/04/2026,Robot Arms Apartments,95
Turanga Leela,19/04/2026,Moe's Tavern,"1,570"
Lisa Simpson,19/04/2026,742 Evergreen Terrace,720
Marge Simpson,20/04/2026,Casa Peluche,70
Federica Peluche,20/04/2026,Springfield Elementary,125
Mr. Burns,20/04/2026,Museum of Prehistoric History,340
Phoebe Buffay,21/04/2026,Nashua Paper Co.,230
Andy Bernard,22/04/2026,San Diego Newsroom,"2,180"
Crazy Steve,22/04/2026,Robot Arms Apartments,"1,510"
Philip J. Fry,24/04/2026,Nail Salon Office,190
Francesca Liddy,25/04/2026,Central Perk,730
Joey Tribbiani,25/04/2026,Parker-Nichols House,"2,590"
Megan Parker,26/04/2026,Nashua Paper Co.,"3,080"
Kevin Malone,26/04/2026,Emporio Federica,130
Ludovico Peluche,28/04/2026,Caltech Lab,"2,110"
Bernadette Rostenkowski,28/04/2026,Fondo de Bikini,"3,080"
Don Cangrejo,29/04/2026,Scranton Accounting Group,270
Michael Scott,30/04/2026,Oficinas Mendoza,"1,240"
Patricia Fernández,01/05/2026,Oficinas Mendoza,830
Marcela Valencia,01/05/2026,Cornell Alumni Office,770
Michael Scott,01/05/2026,Robot Arms Apartments,120
Philip J. Fry,02/05/2026,Fondo de Bikini,430
Plankton,03/05/2026,Belleview High,560
Helen Dubois,03/05/2026,Amy's Neurobiology Lab,200
Leonard Hofstadter,04/05/2026,Central Perk,110
Gunther,04/05/2026,Michael Scott Paper Company,85
Michael Scott,04/05/2026,Fondo de Bikini,"1,270"
Plankton,05/05/2026,San Diego Newsroom,370
Crazy Steve,05/05/2026,A1A Car Wash,140
Hank Schrader,05/05/2026,Moe's Tavern,"1,820"
Homer Simpson,06/05/2026,Belleview High,"1,010"
Josh Nichols,06/05/2026,Balde de Carnada,210
Patricio Estrella,07/05/2026,Albuquerque Courthouse,130
Chuck McGill,07/05/2026,Quality Assurance Unlimited,"1,830"
Jim Halpert,08/05/2026,Helen's Office,"1,260"
Crazy Steve,08/05/2026,Boutique Peluche,550
Federica Peluche,08/05/2026,Bloomingdale's,150
Ross Geller,09/05/2026,Michael Scott Paper Company,110
Andy Bernard,09/05/2026,Casa Peluche,300
Bibi Peluche,09/05/2026,Escuela de Botes,170
Bob Esponja,09/05/2026,New Jersey Logistics,120
Silvio Dante,11/05/2026,Vecindario Peluche,"1,210"
Excelsa,11/05/2026,Crazy Steve Repairs,560
Walter Nichols,12/05/2026,Chandler's Office,"1,200"
Joey Tribbiani,13/05/2026,Springfield Mall,390
Marge Simpson,14/05/2026,Lombardi Designs,430
Mario Calderón,14/05/2026,Fashion Group Bogotá,"3,000"
Patricia Fernández,15/05/2026,Vance Refrigeration,"1,520"
Angela Martin,15/05/2026,Davis & Main,490
Lalo Salamanca,15/05/2026,Ecomoda,110
Marcela Valencia,16/05/2026,Valencia Boutique,"3,050"
Armando Mendoza,17/05/2026,Sandia Labs,"1,200"
Jesse Pinkman,18/05/2026,Wexler McGill,520
Howard Hamlin,19/05/2026,Apartment 4A,130
Amy Farrah Fowler,19/05/2026,Vecindario Peluche,"3,040"
Ludoviquito Peluche,20/05/2026,Valencia Boutique,"3,060"
Marcela Valencia,20/05/2026,Lombardi Designs,"1,790"
Marcela Valencia,20/05/2026,MomCorp,"1,070"
Turanga Leela,22/05/2026,Casa Peluche,"1,220"
Federica Peluche,22/05/2026,Mesa Verde Bank,640
Howard Hamlin,23/05/2026,Comic Center Pasadena,110
Penny Hofstadter,23/05/2026,New Jersey Logistics,60
Tony Soprano,25/05/2026,Nail Salon Office,90
Chuck McGill,25/05/2026,Campos de Medusas,145
Gary,25/05/2026,Comic Center Pasadena,190
Leonard Hofstadter,25/05/2026,Crazy Steve Repairs,690
Walter Nichols,26/05/2026,Nail Salon Office,"1,800"
Chuck McGill,26/05/2026,Boutique Peluche,60
Excelsa,26/05/2026,The Premiere Theater,340
Josh Nichols,27/05/2026,Comic Center Pasadena,130
Amy Farrah Fowler,27/05/2026,Nail Salon Office,"1,520"
Chuck McGill,27/05/2026,Pretzel Day Supplies,"1,070"
Phyllis Vance,28/05/2026,DEA Albuquerque,60
Hank Schrader,29/05/2026,Balde de Carnada,510
Patricio Estrella,30/05/2026,Quality Assurance Unlimited,570
Andy Bernard,30/05/2026,Springfield Elementary,670
Marge Simpson,31/05/2026,Planet Express,570
Dr. Zoidberg,31/05/2026,Wexler McGill,"2,570"
Nacho Varga,01/06/2026,Oficinas Mendoza,290
Armando Mendoza,01/06/2026,Boutique Peluche,910
Ludovico Peluche,01/06/2026,New Jersey Logistics,310
Silvio Dante,03/06/2026,MomCorp,"1,050"
Bender Rodríguez,03/06/2026,Mesa Verde Bank,"1,070"
Chuck McGill,03/06/2026,Megan's Lab,"2,120"
Crazy Steve,03/06/2026,Sandia Labs,140
Saul Goodman,04/06/2026,Bada Bing,"2,130"
Christopher Moltisanti,04/06/2026,Bloomingdale's,430
Ross Geller,05/06/2026,Escuela de Botes,480
Gary,06/06/2026,Crustáceo Cascarudo,"1,030"
Bob Esponja,06/06/2026,Lavandería Brillante,50
Hank Schrader,06/06/2026,Springfield Mall,"1,540"
Mr. Burns,08/06/2026,Museum of Prehistoric History,300
Monica Geller,09/06/2026,Springfield Nuclear Plant,"1,540"
Homer Simpson,10/06/2026,Apartment 4A,160
Leonard Hofstadter,10/06/2026,Davis & Main,310
Nacho Varga,11/06/2026,Bloomingdale's,"1,020"
Gunther,12/06/2026,Mesa Verde Bank,840
Francesca Liddy,12/06/2026,Oficinas Mendoza,180
Hugo Lombardi,13/06/2026,Nashua Paper Co.,860
Andy Bernard,16/06/2026,Koothrappali Observatory,510
Leonard Hofstadter,16/06/2026,ABQ Legal Services,"1,220"
Saul Goodman,17/06/2026,Krustylu Studios,"1,840"
Marge Simpson,17/06/2026,Moe's Tavern,"1,510"
Moe Szyslak,17/06/2026,Robot Arms Apartments,760
Professor Farnsworth,19/06/2026,Parker-Nichols House,190
Audrey Parker-Nichols,19/06/2026,Springfield Mall,"1,570"
Lisa Simpson,19/06/2026,Los Pollos Hermanos,220
Saul Goodman,20/06/2026,Casa Peluche,"2,160"
Excelsa,20/06/2026,HHM,75
Lalo Salamanca,22/06/2026,Crustáceo Cascarudo,"1,030"
Bob Esponja,22/06/2026,Albuquerque Courthouse,160
Lalo Salamanca,22/06/2026,Ecomoda,"2,170"
Mario Calderón,22/06/2026,Zoidberg Clinic,"1,790"
Philip J. Fry,22/06/2026,Dunder Mifflin Utica,"1,580"
Stanley Hudson,23/06/2026,Valencia Boutique,140
Beatriz Pinzón,24/06/2026,San Diego Newsroom,"1,830"
Crazy Steve,24/06/2026,Caltech Lab,730
Howard Wolowitz,25/06/2026,ABQ Legal Services,"1,530"
Jesse Pinkman,26/06/2026,Casa Peluche,530
Ludovico Peluche,26/06/2026,Bada Bing,520
Paulie Gualtieri,27/06/2026,The Cheesecake Factory,930
Bernadette Rostenkowski,27/06/2026,Cornell Alumni Office,"2,120"
Pam Beesly,28/06/2026,Dunder Mifflin Utica,"1,070"
Angela Martin,29/06/2026,Joey's Auditions,300
